Attribute,Score,Act Min,Care Min,DWC Min,Elim Min,Fluid Min,Home Min,Hyg Min,Infec. Min,Med Min,Nutr Min,Oxy Min,Safety Min,Special Min,Support Min,Vital Min,Act Max,Care Max,DWC Max,Elim Max,Fluid Max,Home Max,Hyg Max,Infec. Max,Med Max,Nutr Max,Oxy Max,Safety Max,Special Max,Support Max,Vital Max,Importance Level,whyDidYouSelectThatSkillLevelPleaseSelectAllThatApply,isThereAnythingThatYouWouldLikeToShareAboutThisSkill
Activity and Mobility,5,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,"I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Is A Core Strength But I'm Not An Expert Yet",vbxbx
Care of the Surgical Patient,3,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",xvbx
Dressings and Wound Care,4,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",xvb
Elimination,2,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",xvb
Fluid Balance,10,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",xvb
Hygiene,7,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,7,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",xvbx
Infection Control,4,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",test 4
Medications,8,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",xvbxv
Nutrition,1,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,1,"I'm Better At This Than Most Of My Peers, This Has Been A Weakness For Me, This Is A Core Strength But I'm Not An Expert Yet",xvbxb
Oxygenation,9,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",
Safety and Comfort,6,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,6,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",xbxb
Special Procedures,3,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,3,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",test 123
Vital Signs and Physical Assessment,2,2,1,4,1,1,1,1,1,1,1,6,1,1,1,1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,"I'm A True Expert With Extensive Experience And No Weakness, I'm Better At This Than Most Of My Peers, I'm Excited About What I Know But There Is A Lot More To Learn, This Has Been A Weakness For Me, This Has Not Been Important To Me, This Is A Core Strength But I'm Not An Expert Yet",test
